e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 a7a5                               : ..691 281 moves, avg. D43, 058 counts/move
d2d4 d7d5 c1f4 g8f6 b1d2 e7e6 g1f3 f8d6 e2e3 e8g8                               : ......114 moves, avg. D21, 037 counts/move
g1f3 g8f6 c2c4 b7b6 d2d4 e7e6 g2g3 c8a6 d1c2 a6b7                               : ......352 moves, avg. D31, 044 counts/move
d2d4 d7d5 c1f4 c7c5 g1f3 c5d4 c2c3 d8b6 c3d4 g8f6                               : .......36 moves, avg. D01, 001 counts/move
e2e4 c7c5 c2c3 d7d5 e4d5 d8d5 d2d4 b8c6 g1f3 c8f5                               : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8c5 c2c3 c5b6                               : .......87 moves, avg. D19, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 f2f3 e7e6                               : .......38 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 f8b4 c4d5 e6d5                               : ....1 059 moves, avg. D32, 054 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 f6g4                     : 1 000 000 moves, avg. D31, 042 counts/move
d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 g1f3 e7e6 b1c3 f8d6                               : .......35 moves, avg. D01, 001 counts/move
