e2e4 c7c5 f2f4 e7e6                                                                                                                                        : .......30 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 c4b3                                                             : .......38 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7 b1d2 c7c5                                              : .......31 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c6a5 b3c2 c7c5 d2d3                                                   : .......31 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d6 h2h3 c8b7 d2d4 f8e8 b1d2 e7f8 a2a3                                         : ......908 moves, avg. D41, 112 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5 c1g5 c7c6 d1c2 f8e7 e2e3 b8d7 f1d3 e8g8 g1e2 f8e8 e1c1 d7f8                                                        : .......43 moves, avg. D01, 001 counts/move
d2d4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 c2c4 d7d6 b1c3 b8c6 e1g1 c8f5                                                                                      : .......37 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g2g3 c7c5 d4d5 e6d5 c4d5                                                                                                               : .......25 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 b7b6                                                                                                : ......333 moves, avg. D34, 098 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c6 c1g5 h7h6 g5f6 d8f6 e2e3 b8d7 f1d3 d5c4 d3c4 f6d8                                                                  : .......45 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c6 c1g5 h7h6 g5f6 d8f6 e2e3 b8d7 f1d3 g7g6                                                                            : .......49 moves, avg. D05, 013 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 c7c6 c1g5 h7h6 g5f6 d8f6 e2e3 b8d7 f1e2 g7g6 e1g1 f6e7                                                                  : .......34 moves, avg. D01, 001 counts/move
d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 a7a6 f1c4 e7e6 e1g1 c7c5 c4b3                                                                                           : .......33 moves, avg. D01, 001 counts/move
e2e4 g7g6 d2d4 f8g7 c2c4 d7d6 g1f3 c8g4                                                                                                                    : .......34 moves, avg. D01, 001 counts/move
e2e4 d7d6 d2d4 g8f6 f2f3 g7g6 b1c3 f8g7 c1e3 c7c6 d1d2 b7b5 e1c1                                                                                           : .......36 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 d7d6 f1c4                                                                                                                                   : .......32 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 d7d6 d2d4 b8d7                                                                                                                              : .......36 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 d7d5 c1g5 d5c4                                                                                                          : ......126 moves, avg. D18, 071 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 g1f3 c7c5                                                                                                          : .......35 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6                                                                                                : .......34 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 a2a3 b4c3 b2c3                                                                                                               : .......26 moves, avg. D01, 001 counts/move
g1f3 e7e6 c2c4 g8f6 g2g3 b7b6 d2d4 c8a6 b1d2                                                                                                               : .......29 moves, avg. D01, 001 counts/move
g1f3 e7e6 c2c4 g8f6 g2g3 b7b6 d2d4 c8a6 b2b3                                                                                                               : .......35 moves, avg. D06, 021 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f4 e8g8                                                                                                          : .......37 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 b2b4 a7a5                                                                  : .......37 moves, avg. D01, 004 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8d7 c1e3 d8e7                                                                            : .......38 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3 f7f5 c1e3 f5f4 e3f2 g6g5 a2a4                               : ....1 162 moves, avg. D24, 088 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 c2c3 g8f6 d2d3 e8g8 a2a4 a7a5 c1g5 h7h6 g5h4 c8e6 b1d2 d8e7 f1e1 g7g5 h4g3 f6e8 c4b5                               : .......40 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 c2c3 g8f6 d2d3 e8g8 a2a4 a7a5 c1g5 h7h6 g5h4 g7g5 h4g3 g5g4                                                        : .......33 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 c2c3 g8f6 d2d3 e8g8 a2a4 a7a5 c1g5 h7h6 g5h4 g7g5 h4g3 g8g7                                                        : .......33 moves, avg. D01, 001 counts/move
c2c4 c7c5 g1f3 g8f6 g2g3 b7b6 f1g2 c8b7 b1c3 e7e6 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6                                                                            : .......46 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 d7d6 f1e2                                                                                                     : .......34 moves, avg. D01, 001 counts/move
g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1                                                                                                                         : .......32 moves, avg. D02, 005 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 c1e3                                                                                           : .......36 moves, avg. D02, 004 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 e8g8 c2c3 d7d6 h2h3 a7a6 b1d2 b7b5 c4b3                                                                       : .......39 moves, avg. D01, 001 counts/move
g1f3 c7c5 g2g3 b8c6 f1g2 g7g6 c2c4 f8g7 b1c3                                                                                                               : ......101 moves, avg. D20, 081 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5d3 f6d5 h2h4                                                                       : .......42 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d3 d7d5 b1d2                                                                                                                                   : .......35 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1f3                                                                                           : .......34 moves, avg. D01, 001 counts/move
c2c4 e7e5 b1c3 g8f6 g2g3 f8b4                                                                                                                              : .......27 moves, avg. D02, 005 counts/move
